,Month_Year,County,Year,Month,State,FIPS_Code,Dosage_Industry,Dosage_Purdue,MME_Industry,MME_Purdue,Volume_Industry,Volume_Purdue
116,2006m10,MONTGOMERY,2006,10,AL,AL101,552950.0,5700.0,3838105.1624999773,262226.25,4959875.0,195000.0
117,2006m10,MORGAN,2006,10,AL,AL103,585170.0,4900.0,4380177.063862487,240710.25,5683008.55,179000.0
118,2006m10,PERRY,2006,10,AL,AL105,14600.0,300.0,98981.92500000002,14792.25,126250.0,11000.0
119,2006m10,PICKENS,2006,10,AL,AL107,35710.0,400.0,241089.02999999985,29584.5,314575.0,22000.0
120,2006m10,PIKE,2006,10,AL,AL109,85310.0,1400.0,455847.18,75306.0,685825.0,56000.0
121,2006m10,RANDOLPH,2006,10,AL,AL111,61600.0,500.0,360274.57499999984,17481.75,512500.0,13000.0
122,2006m10,RUSSELL,2006,10,AL,AL113,189600.0,3100.0,1159169.966362501,199023.0,1566733.55,148000.0
123,2006m10,SHELBY,2006,10,AL,AL117,632850.0,25100.0,5527875.615449978,1709177.25,6486559.2,1271000.0
124,2006m10,SUMTER,2006,10,AL,AL119,10300.0,100.0,92972.17499999999,5379.0,103500.0,4000.0
125,2006m10,TALLADEGA,2006,10,AL,AL121,296710.0,4100.0,1875843.1954500016,213815.25,2580759.2,159000.0
126,2006m10,TALLAPOOSA,2006,10,AL,AL123,133540.0,1400.0,865203.8670000012,55134.75,1176870.0,41000.0
127,2006m10,TUSCALOOSA,2006,10,AL,AL125,457570.0,9500.0,2915915.329537491,559416.0,3824809.8499999996,416000.0
128,2006m10,WALKER,2006,10,AL,AL127,986880.0,18400.0,7050250.819087494,946704.0,9441225.65,704000.0
129,2006m10,WASHINGTON,2006,10,AL,AL129,12700.0,100.0,78759.78749999999,5379.0,110250.0,4000.0
130,2006m10,WILCOX,2006,10,AL,AL131,9330.0,200.0,53119.215000000004,8068.5,74225.0,6000.0
131,2006m10,WINSTON,2006,10,AL,AL133,149120.0,3200.0,954118.1100000015,149267.25,1332650.0,111000.0
132,2006m11,AUTAUGA,2006,11,AL,AL001,227830.0,1200.0,1607281.1063625014,45721.5,2016958.55,34000.0
133,2006m11,BALDWIN,2006,11,AL,AL003,555980.0,7100.0,4014428.590724979,544623.75,5179297.1,405000.0
134,2006m11,BARBOUR,2006,11,AL,AL005,78230.0,200.0,529306.4400000002,13447.5,698975.0,10000.0
135,2006m11,BIBB,2006,11,AL,AL007,46550.0,2000.0,372066.71249999973,106235.25,452375.0,79000.0
136,2006m11,BLOUNT,2006,11,AL,AL009,125630.0,1500.0,861026.497725001,121027.5,1153442.1,90000.0
137,2006m11,BULLOCK,2006,11,AL,AL011,14620.0,,70690.58400000002,,110490.0,
138,2006m11,BUTLER,2006,11,AL,AL013,60800.0,200.0,324462.3827249999,10758.0,490717.1,8000.0
139,2006m11,CALHOUN,2006,11,AL,AL015,457120.0,5500.0,3675474.892724977,389977.5,4549867.1,290000.0
140,2006m11,CHAMBERS,2006,11,AL,AL017,122510.0,2400.0,1077916.9425000015,164059.5,1302825.0,122000.0
141,2006m11,CHEROKEE,2006,11,AL,AL019,97500.0,700.0,873178.3275000006,34963.5,977850.0,26000.0
142,2006m11,CHILTON,2006,11,AL,AL021,110760.0,5200.0,854255.0220000016,346945.5,1044820.0,258000.0
143,2006m11,CHOCTAW,2006,11,AL,AL023,61490.0,1000.0,388156.0652249999,77995.5,534642.1,58000.0
144,2006m11,CLARKE,2006,11,AL,AL025,61600.0,800.0,330582.2249999998,45721.5,511250.0,34000.0
145,2006m11,CLAY,2006,11,AL,AL027,34540.0,700.0,261830.29499999993,21516.0,323800.0,16000.0
146,2006m11,CLEBURNE,2006,11,AL,AL029,13000.0,200.0,89685.22499999999,8068.5,117000.0,6000.0
147,2006m11,COFFEE,2006,11,AL,AL031,265800.0,1100.0,1511786.2500000007,38997.75,2222750.0,29000.0
148,2006m11,COLBERT,2006,11,AL,AL033,388290.0,3800.0,2526372.944999997,216504.75,3472425.0,161000.0
149,2006m11,CONECUH,2006,11,AL,AL035,50000.0,1800.0,315846.48149999994,96822.0,472390.0,72000.0
150,2006m11,COOSA,2006,11,AL,AL037,9960.0,500.0,56317.34250000001,48411.0,82950.0,36000.0
151,2006m11,COVINGTON,2006,11,AL,AL039,139330.0,500.0,876778.4550000005,16137.0,1197825.0,12000.0
152,2006m11,CRENSHAW,2006,11,AL,AL041,28490.0,100.0,216614.9324999999,2689.5,275675.0,2000.0
153,2006m11,CULLMAN,2006,11,AL,AL043,428460.0,2200.0,2882473.928999995,111614.25,3926290.0,83000.0
154,2006m11,DALE,2006,11,AL,AL045,93890.0,1100.0,741197.9027249999,64548.0,891392.1000000001,48000.0
